Time (s),Hand,Tremor Frequency (Hz),Tremor Amplitude (px)
1742084197.113429,left,23.36008911166806,4.123105625617661
1742084197.157572,left,22.653668126751967,5.0
1742084197.2364721,left,12.674255358367757,13.416407864998739
1742084197.316792,left,12.450217581021473,17.46424919657298
1742084197.3983018,left,12.268459124187938,15.652475842498529
1742084197.485909,left,11.414594054717499,20.223748416156685
1742084197.559627,left,13.56519489256006,12.165525060596439
1742084197.603552,left,22.766054224224497,17.69180601295413
1742084197.645189,left,24.01713258282848,20.591260281974
1742084197.730685,left,11.696460640944126,21.02379604162864
1742084197.806785,left,13.14058529952661,11.40175425099138
1742084197.891679,left,11.77940354592202,23.0
1742084197.972783,left,12.32984199309179,35.12833614050059
1742084198.055083,left,12.150676002560902,17.204650534085253
1742084198.1380732,left,12.04961992151365,2.23606797749979
1742084198.216607,left,12.733356608327387,13.92838827718412
1742084198.2602901,left,22.89217334352145,5.830951894845301
1742084198.344186,left,11.919530528439688,15.033296378372908
1742084198.383678,left,25.321653455364313,24.515301344262525
1742084198.468533,left,11.784798318666622,11.661903789690601
1742084198.550914,left,12.13871982542811,9.486832980505138
1742084198.62741,left,13.072598465935478,14.212670403551895
1742084198.669425,left,23.800980570183402,7.615773105863909
1742084198.713224,left,22.83161137905131,7.211102550927978
1742084198.793219,left,12.500757024832799,10.770329614269007
1742084198.875139,left,12.207044881067064,14.317821063276353
1742084198.960752,left,11.680467407619881,19.849433241279208
1742084199.042001,left,12.307843994565456,9.219544457292887
1742084199.122568,left,12.412047750664355,15.652475842498529
1742084199.202365,left,12.531794808974194,5.0
1742084199.285918,left,11.968440306237463,14.422205101855956
1742084199.369877,left,11.910560840550902,6.4031242374328485
1742084199.445725,left,13.184286877335923,53.85164807134504
1742084199.445725,left,0.0,55.10898293381942
1742084199.533331,left,11.414749378139916,55.08175741568164
1742084199.57581,left,23.54102261884717,7.0710678118654755
1742084199.6560588,left,12.461240448263158,14.142135623730951
1742084199.735776,left,12.544350666052555,12.36931687685298
1742084199.7806022,left,22.308347738212376,5.385164807134504
1742084199.861467,left,12.366340282630295,17.204650534085253
1742084199.9457679,left,11.862256210688267,18.788294228055936
1742084200.028682,left,12.060672806793054,7.211102550927978
1742084200.1086452,left,12.50575151316378,13.601470508735444
