Flip Time (s),Hand,Inter-Flip Interval (s)
1742110698.9196439,Left,
1742110699.244471,Left,0.3248271942138672
1742110699.5828679,Left,0.3383967876434326
1742110699.915304,Left,0.33243608474731445
1742110700.2462778,Left,0.33097386360168457
1742110700.5816991,Left,0.3354213237762451
1742110700.917079,Left,0.33537983894348145
1742110701.432603,Left,0.5155239105224609
1742110701.7696042,Left,0.33700132369995117
1742110702.10346,Left,0.33385586738586426
1742110702.637179,Left,0.5337188243865967
1742110703.16783,Left,0.5306510925292969
1742110703.498326,Left,0.33049607276916504
1742110703.8311832,Left,0.3328571319580078
1742110704.2912,Left,0.46001672744750977
1742110704.6261399,Left,0.33493995666503906
1742110704.948261,Left,0.32212114334106445
1742110705.4758432,Left,0.5275821685791016
1742110705.800398,Left,0.3245549201965332
1742110706.119359,Left,0.31896090507507324
1742110706.582264,Left,0.4629049301147461
1742110706.916193,Left,0.33392906188964844
1742110707.453472,Left,0.5372788906097412
1742110707.786325,Left,0.3328530788421631
1742110708.1217148,Left,0.3353898525238037
1742110698.9194372,Right,
1742110699.2442539,Right,0.3248167037963867
1742110699.5826628,Right,0.3384089469909668
1742110699.915085,Right,0.33242225646972656
1742110700.24608,Right,0.3309948444366455
1742110700.581441,Right,0.3353610038757324
1742110700.916849,Right,0.33540797233581543
1742110701.432367,Right,0.5155181884765625
1742110701.769376,Right,0.3370089530944824
1742110702.103217,Right,0.33384084701538086
1742110702.636968,Right,0.5337510108947754
1742110703.167629,Right,0.5306611061096191
1742110703.498115,Right,0.3304860591888428
1742110703.830987,Right,0.3328719139099121
1742110704.290994,Right,0.4600069522857666
1742110704.6259258,Right,0.3349318504333496
1742110705.1422,Right,0.5162742137908936
1742110705.4755998,Right,0.33339977264404297
1742110706.060452,Right,0.5848522186279297
1742110706.5820239,Right,0.5215718746185303
1742110707.185141,Right,0.6031172275543213
1742110707.658182,Right,0.4730408191680908
